項目,年度,件数
A,2024,1
A,2024,1
A,2024,1
A,2024,1
A,2024,1
A,2024,1
A,2024,1
A,2024,1
A,2024,1
A,2024,1
A,2024,1
B,2024,1
B,2024,1
B,2024,1
B,2024,1
B,2024,1
C,2024,1
C,2024,1
C,2024,1
D,2024,1
E,2024,1
A,2025,1
A,2025,1
A,2025,1
A,2025,1
A,2025,1
A,2025,1
B,2025,1
B,2025,1
B,2025,1
B,2025,1
B,2025,1
B,2025,1
B,2025,1
C,2025,1
C,2025,1
C,2025,1
C,2025,1
C,2025,1
C,2025,1
C,2025,1
D,2025,1
D,2025,1
D,2025,1
D,2025,1
D,2025,1
D,2025,1
E,2025,1
E,2025,1
E,2025,1
E,2025,1
E,2025,1
E,2025,1
E,2025,1
